,0
pax,416
pracy,164
stowarzyszenia,120
działalności,93
działalność,75
rozwoju,72
kraju,65
partii,62
spraw,62
człowieka,61
dnia,60
polsce,58
życia,56
praca,53
kościoła,49
stowarzyszenie,48
ruchu,48
polski,46
dyskusji,45
społeczeństwa,44
osób,41
członków,41
człowiek,41
zarządu,39
znak,39
stosunku,39
narodu,38
dniu,38
katolików,38
rzecz,37
sytuacji,37
oddziałów,35
wartości,35
rozwój,35
problem,35
okresie,34
sprawy,33
działaczy,33
centrala,33
państwa,32
wzrost,31
roli,31
państwo,31
cen,31
ludzi,30
księży,29
socjalizmu,29
warszawie,28
rok,27
kultury,27
związku,27
pozycji,26
życiu,26
trudności,26
udział,26
polityki,26
produkcji,26
widzenia,26
wartość,25
inteligencji,25
warszawa,25
kościół,25
pracę,25
chss,25
ipn,25
dziedzinie,25
terenie,24
kierownictwa,24
zakresie,24
problemy,24
płac,24
punktu,23
zadań,23
wydziału,23
życie,23
działania,23
fundusz,23
prl,22
rolę,22
zzg,22
możliwości,22
kontaktów,22
wzrostu,22
organizacji,22
boga,22
celu,21
czym,21
partia,21
kierownictwo,21
latach,21
konieczność,21
temat,21
historii,21
ramach,21
odcinku,20
sprawie,20
lat,20
informacja,20
szereg,20
naczelnik,20
miejsce,19
przemysłu,19
kontakty,19
środowiska,19
pzpr,19
aktywności,19
referat,19
piasecki,19
uwagę,19
postawy,18
potrzeby,18
stan,18
strony,18
świecie,18
władze,18
zmiany,18
grupa,18
problemów,18
części,18
zaangażowania,18
polska,17
głos,17
brak,17
władzy,17
stosunków,17
tle,17
zadania,17
egz,17
młodzieży,17
kluby,17
procesie,17
program,17
episkopatu,17
oddziału,17
rzeczy,17
sprawę,17
posiedzenia,16
departamentu,16
par,16
społeczeństwo,16
władz,16
ruch,16
światopoglądu,16
tezy,16
wyznań,15
prasy,15
kik,15
budżet,15
episkopat,15
stosunek,15
katolicy,15
grupy,15
ności,15
zdaniem,15
libella,15
wydatków,15
bazy,15
środków,15
zadaniem,14
opinii,14
rola,14
zjednoczenie,14
stowarzyszeń,14
osoby,14
programu,14
środowisko,14
socjalizm,14
dialogu,14
msw,14
lecia,14
znaczenia,14
sprawach,14
zsrr,14
rodzaju,14
fakt,14
realizacji,14
osiągnięcia,14
celem,14
sekretariatu,14
sympozjum,14
hierarchii,14
uwagi,14
budżetu,14
znaczenie,14
propozycje,13
wydział,13
xxx,13
zaangażowanie,13
myśli,13
politykę,13
kandydatów,13
stanowisko,13
patriotyzm,13
konferencji,13
informacji,13
materiałów,13
ludzie,13
przewodniczący,13
zachodzie,13
potrzeb,13
zagadnienie,12
integracji,12
zespołów,12
członkowie,12
zagadnień,12
sytuację,12
chwili,12
narady,12
myśl,12
zadanie,12
wytycznych,12
zmian,12
nym,12
ministerstwa,12
sił,12
postawa,12
referatu,12
referacie,12
słowa,12
ciągu,12
ars,12
świadomości,12
decyzji,12
duchowieństwem,12
wystąpienie,12
państw,11
przemysł,11
twa,11
pomocy,11
egznr,11
inicjatywy,11
działacze,11
stanowiska,11
więź,11
sens,11
zjazd,11
świata,11
kleru,11
dni,11
czynnikiem,11
klubu,11
partię,11
charakter,11
istnienia,11
linii,11
czasie,11
dyskusja,11
uznanie,11
pracą,11
oceny,11
bazie,11
władza,10
wysokości,10
spotkania,10
dane,10
propozycji,10
sferze,10
dobra,10
propagandy,10
spotkanie,10
cwu,10
mierze,10
centrali,10
rząd,10
departament,10
przedsiębiorstwa,10
oparciu,10
pań,10
wzrostem,10
funkcji,10
dokumentu,10
sytuacja,10
mie,10
hasło,10
aktywność,10
wypowiedzi,10
duchowieństwa,10
część,10
wydatki,10
osiągnięć,10
okresu,10
tygodnika,10
siły,10
rzeczywistości,10
miłość,9
prezydium,9
pra,9
ustroju,9
ków,9
słowo,9
ideologii,9
tygodnik,9
urząd,9
udziałem,9
zagadnienia,9
klubów,9
kwotę,9
teorii,9
całość,9
krajach,9
przedstawicieli,9
spokoju,9
procesów,9
skali,9
struktura,9
dialog,9
artykuły,9
form,9
dział,9
typu,9
rozmowy,9
proces,9
realizacja,9
treści,9
zebrań,9
stanu,9
kierunki,9
formy,9
działalnością,9
poznań,9
podział,9
spotkań,9
bóg,9
wydarzeń,9
porównaniu,9
postaw,9
plan,9
produkcja,9
środowisku,9
sprawa,9
wydawnictw,9
przekonanie,9
budżetów,9
rzeczywistość,9
konfederacji,9
płaszczyźnie,8
ala,8
założeń,8
kryzys,8
warunkach,8
stowarzyszeniu,8
oddziały,8
wpływ,8
braku,8
zakres,8
wyniki,8
rozmów,8
watykan,8
potrzebę,8
czynników,8
zespoły,8
przewodniczących,8
warszawy,8
działal,8
gospodarki,8
świat,8
ministerstwo,8
przedmiotem,8
koncepcji,8
stosunki,8
chs,8
historia,8
klub,8
religii,8
nagród,8
wyk,8
paź,8
model,8
czego,8
szkolenia,8
przew,8
fax,8
tez,8
czasu,8
trakcie,8
materiały,8
kolei,8
członek,8
cele,8
teza,8
większość,8
stosunkach,8
zebranie,8
świadomość,8
władzą,8
poglądów,8
pro,8
katowicach,8
konieczności,8
dokumentów,8
środowisk,8
człowiekowi,8
postulaty,8
stopniu,8
chrześcijan,8
przebiegu,8
ność,8
stowarzy,8
nrd,8
rzeczą,8
kich,8
środowiskach,7
ocenę,7
straty,7
kościele,7
adresat,7
