,0
0,"['stan', 'fakt', 'dni', 'dane', 'tygodnik', 'zorza', 'nakład', 'tyczne', 'owi', 'polaka', 'akt', 'nakładów', 'zwrotów', 'ark', 'polak', 'tan', 'tyn', 'ule', 'niedzielny', 'owo', 'tycznych', 'fakty', 'pola', 'arię', 'franc', 'powielacz', 'faktycznych', 'dzienniki', 'etyczne', 'tyczny', 'tycz', 'faktyczny', 'angielsku', 'dzienni', 'gie', 'aka', 'go', 'akty', 'dziennik', 'ety', 'tygodni', 'lny', 'try', 'ter', 'dan']"
1,[]
2,"['dyskusji', 'głos', 'zadania', 'socjalizm', 'pro', 'tez', 'kan', 'pełni', 'ucz', 'tyn', 'pełną', 'ule', 'winni', 'dusz', 'jad', 'zad', 'inni', 'ton', 'ody', 'ali', 'win', 'duszpasterska', 'socjalizmie', 'bycia', 'winniśmy', 'atu', 'obi', 'liz', 'pat', 'dysku', 'łat', 'wyra', 'dania', 'soc', 'misja', 'skany', 'wyrażających', 'płody', 'lita', 'czyj', 'zet', 'ości', 'oso', 'bat', 'księg', 'ter', 'dna', 'dan']"
3,"['dnia', 'cen', 'lat', 'dni', 'centrali', 'spotkanie', 'dział', 'pro', 'wyk', 'kan', 'owa', 'pad', 'asa', 'tan', 'dur', 'ali', 'nań', 'posta', 'kontrolowanych', 'agi', 'okr', 'ceni', 'zwy', 'sumo', 'lez', 'go', 'rol', 'twe', 'limit', 'pasa', 'koso', 'tanie', 'siq', 'ołów', 'pot', 'oso', 'kos', 'post', 'do', 'kle']"
4,"['kraju', 'spraw', 'kościoła', 'ruchu', 'osób', 'członków', 'katolików', 'okresie', 'działaczy', 'politycznych', 'inteligencji', 'terenie', 'rolę', 'wojewódzkich', 'katolickiego', 'grupa', 'stan', 'katolickich', 'ruch', 'władz', 'grupy', 'osoby', 'ars', 'twa', 'działacze', 'dni', 'kiego', 'warszawskiego', 'dział', 'klubów', 'form', 'polityczny', 'wyk', 'kich', 'klub', 'woje', 'zespół', 'kół', 'okres', 'katolicki', 'miesięcznika', 'stanie', 'pisma', 'aktyw', 'miasta', 'war', 'kie', 'wania', 'owi', 'katolickie', 'kato', 'kraj', 'akt', 'owa', 'cze', 'owe', 'praw', 'podstawową', 'miesięcznik', 'świeckie', 'organizowania', 'nazwą', 'rów', 'klubach', 'koniec', 'zysk', 'wojewódzki', 'tan', 'ren', 'autentyczny', 'ana', 'uzy', 'pie', 'klubowego', 'pil', 'świec', 'ród', 'organizacje', 'drodze', 'fal', 'inte', 'tory', 'wydawanie', 'grup', 'katolik', 'raj', 'równi', 'udo', 'chu', 'fali', 'dal', 'nowi', 'bom', 'akcja', 'uda', 'chadecji', 'jedyne', 'ali', 'win', 'ara', 'krakowskiej', 'dawnych', 'tycznych', 'miastach', 'naw', 'oko', 'warszawski', 'wał', 'zło', 'organ', 'kres', 'oda', 'wód', 'tere', 'sem', 'okr', 'atu', 'inteli', 'ozy', 'owej', 'pism', 'tyczny', 'człon', 'tycz', 'cha', 'mas', 'warszaw', 'ego', 'prawu', 'pozy', 'mowa', 'znani', 'lich', 'miast', 'czas', 'młodej', 'klubowym', 'autentycznych', 'zgodę', 'go', 'lut', 'pieść', 'liczyły', 'najliczniejszy', 'ski', 'formowania', 'masę', 'członkowską', 'tworzących', 'wic', 'owym', 'rol', 'wow', 'akty', 'chara', 'rod', 'ości', 'tanie', 'zen', 'wił', 'towar', 'owego', 'oso', 'kra', 'działacz', 'staw', 'teren', 'owiec', 'do', 'ter', 'koś', 'wuj', 'rej']"
5,"['pracy', 'działalności', 'rzecz', 'problem', 'działaczy', 'inteligencji', 'terenie', 'działania', 'kontaktów', 'katolickiego', 'środowiska', 'strony', 'stan', 'stosunków', 'hierarchii', 'rola', 'zagranicznych', 'własnych', 'sił', 'twa', 'dni', 'charakter', 'iii', 'kiego', 'mierze', 'dział', 'kościelnej', 'pro', 'polityczny', 'ala', 'kich', 'środowisk', 'trud', 'zespół', 'kół', 'autorytet', 'katolicki', 'ora', 'poczucie', 'swą', 'współpracy', 'racji', 'nacisk', 'war', 'kie', 'oczy', 'kontakt', 'środowiskami', 'wania', 'owi', 'prowadzenia', 'katolickie', 'kato', 'pewien', 'akt', 'dużą', 'owa', 'cze', 'owe', 'fin', 'trze', 'kim', 'prac', 'pop', 'zależności', 'jakości', 'intelektualny', 'pełni', 'trudna', 'tan', 'ren', 'opracowania', 'ana', 'ula', 'własny', 'oczywiste', 'ród', 'auto', 'wad', 'naciskiem', 'czyn', 'inte', 'tory', 'uzupełniające', 'grup', 'taj', 'intelektualnym', 'duch', 'wig', 'gra', 'założeniu', 'udo', 'owo', 'pełnia', 'siła', 'niezależności', 'poziomem', 'przej', 'pozytywna', 'stron', 'autorytetem', 'poselskich', 'ara', 'oczywista', 'poziom', 'dynamiki', 'era', 'zagraniczny', 'naciski', 'sny', 'jedną', 'większa', 'wagi', 'agi', 'organ', 'mierne', 'oblicza', 'mem', 'tere', 'inteli', 'stosu', 'lemat', 'wiska', 'ozy', 'dyna', 'tyczny', 'powodu', 'tycz', 'cha', 'ego', 'znacz', 'kami', 'przeciętny', 'intelektu', 'grupą', 'dynamiczną', 'żąć', 'słabym', 'miernej', 'poczytnością', 'przeciętnym', 'mocnym', 'połączenia', 'dynamizm', 'likwidację', 'konkurenta', 'przeprowadzenia', 'protestanckimi', 'zalążek', 'większe', 'mogłaby', 'oczywistej', 'słabości', 'zręby', 'kontrowersyjny', 'pozy', 'bud', 'noś', 'pozytyw', 'problematyką', 'aty', 'środowi', 'go', 'ski', 'tnie', 'rol', 'wag', 'moc', 'rozbudowa', 'ość', 'den', 'chara', 'rod', 'osi', 'wodu', 'ości', 'zen', 'oso', 'lny', 'mat', 'działacz', 'poselski', 'czucie', 'run', 'teren', 'jednocześni', 'noc', 'do', 'pracowania', 'budowa', 'wok', 'ter', 'koś', 'dna', 'ery', 'rej', 'organizacyj']"
6,"['działalność', 'rok', 'wydatków', 'prasy', 'twa', 'dział', 'cele', 'pro', 'organizacyjne', 'pozycje', 'ora', 'war', 'akt', 'cel', 'owa', 'owe', 'praw', 'maa', 'inwestycyjne', 'ula', 'projekt', 'tyn', 'ule', 'sieć', 'preliminarza', 'don', 'gra', 'stron', 'projektem', 'towarzysze', 'organ', 'wód', 'raca', 'tere', 'rulad', 'lai', 'oralny', 'ironia', 'atu', 'dat', 'stosu', 'ozy', 'lad', 'tut', 'preliminarz', 'pozy', 'aka', 'noś', 'ros', 'aty', 'akty', 'ość', 'pras', 'ety', 'zen', 'towar', 'lny', 'do', 'nar', 'atut', 'ter', 'ery', 'organizacyj']"
7,"['dnia', 'stosunku', 'oddziałów', 'cen', 'wzrost', 'księży', 'rok', 'terenie', 'płac', 'nowych', 'lat', 'kontakty', 'wydatków', 'budżet', 'budżetu', 'materiałów', 'swego', 'ars', 'dni', 'kiego', 'wysokości', 'wydatki', 'wzrostem', 'dział', 'kwotę', 'pro', 'następujących', 'wyk', 'klub', 'woje', 'tworzenia', 'nowy', 'poselskie', 'ora', 'zagraniczne', 'płace', 'zwiększenie', 'toruń', 'war', 'kie', 'kontakt', 'wania', 'owi', 'stworzenia', 'kosztów', 'akt', 'kan', 'utrzymanie', 'owa', 'cze', 'jednego', 'owe', 'zasadni', 'maa', 'prac', 'zasad', 'waż', 'druk', 'asa', 'ren', 'uwzględnienie', 'ucz', 'ula', 'wyko', 'plac', 'koszty', 'kar', 'telefonicznych', 'dotacji', 'regulacji', 'sad', 'duch', 'gra', 'oddział', 'rea', 'oro', 'akcja', 'prób', 'mil', 'ali', 'wydawania', 'toru', 'prasowego', 'uzasadniony', 'materia', 'pon', 'gad', 'oko', 'prace', 'zwiększeniem', 'warszawski', 'wydatkami', 'swe', 'organ', 'jem', 'tere', 'dat', 'ceni', 'stosu', 'tyczny', 'tycz', 'próba', 'kania', 'zrealizowanego', 'reakcyjnych', 'dziennikarzy', 'przewidujący', 'budżetowy', 'druku', 'zeszytów', 'organu', 'mas', 'liz', 'warszaw', 'jań', 'ego', 'kami', 'dzienni', 'uza', 'większe', 'bud', 'real', 'gula', 'ros', 'materiał', 'następujący', 'go', 'ski', 'wic', 'koszt', 'reakcyj', 'żyd', 'twe', 'orze', 'akty', 'dziennik', 'pras', 'utrzyma', 'tło', 'ości', 'ety', 'zen', 'kom', 'takty', 'owego', 'mat', 'poselski', 'kos', 'tal', 'teren', 'do', 'ter', 'koś', 'man']"
8,"['księży', 'rok', 'katolickich', 'ars', 'wyznaniowych', 'porównaniu', 'kich', 'polsko', 'pomoc', 'katolicki', 'war', 'kato', 'owa', 'wyzna', 'rów', 'zeszyty', 'dusz', 'oro', 'akcja', 'materia', 'towarzysze', 'mer', 'ego', 'materialna', 'znani', 'go', 'moc', 'mery', 'porów', 'towar', 'lny', 'mat', 'tal', 'do', 'równa', 'ter', 'ery']"
9,"['spraw', 'dyskusji', 'cen', 'ludzi', 'polityki', 'zadań', 'konieczność', 'celu', 'czym', 'szereg', 'sprawie', 'różnych', 'uwagę', 'stan', 'innymi', 'program', 'tezy', 'stosunek', 'ludzie', 'referacie', 'winien', 'twa', 'kiego', 'plan', 'zebrań', 'dział', 'ustroju', 'świat', 'pro', 'całej', 'dalszego', 'stosunki', 'kich', 'organizacyjne', 'tez', 'kadr', 'inicjatyw', 'pogląd', 'kadry', 'sojuszu', 'obrad', 'obywateli', 'ora', 'stanie', 'tyczne', 'rad', 'aktyw', 'war', 'kie', 'wania', 'owi', 'pozycja', 'wierzący', 'sojusz', 'kato', 'biuletyn', 'akt', 'toż', 'cel', 'owa', 'cze', 'właściwych', 'praw', 'zaktywizowania', 'dań', 'narad', 'kim', 'prac', 'pop', 'zalecenia', 'rów', 'waż', 'koniec', 'przyjaźni', 'praktyczne', 'tan', 'dalsze', 'ana', 'pie', 'członkami', 'interesy', 'kampanii', 'światopogląd', 'tyn', 'ważne', 'przygotowywanie', 'wad', 'praktycznej', 'wagę', 'inte', 'ule', 'tory', 'nowa', 'tycznej', 'nastrojów', 'katolik', 'innym', 'przygotowanie', 'akceptacji', 'zad', 'gra', 'równi', 'lin', 'dal', 'właściwy', 'pozycjach', 'wychowywania', 'rolnych', 'win', 'ara', 'wyborczej', 'tycznych', 'obywatel', 'pogłębiania', 'bieg', 'era', 'ogr', 'zło', 'nek', 'towarzysze', 'nara', 'organ', 'całe', 'oda', 'wód', 'wini', 'tere', 'atu', 'rawie', 'ceni', 'stosu', 'ozy', 'towarzyszenie', 'tyczny', 'człon', 'wroga', 'tycz', 'zebr', 'liz', 'audio', 'biuletynu', 'ważnej', 'dodawana', 'fachowców', 'rozpoczęcia', 'mer', 'kwestię', 'wrogami', 'poprawne', 'leg', 'rozważaniom', 'rozbieżnych', 'klery', 'niewłaściwych', 'stoż', 'wywodzie', 'wywoływania', 'suplikacji', 'intencji', 'pat', 'ego', 'znacz', 'dysku', 'kami', 'światopoglądowy', 'różny', 'pozy', 'tyki', 'noś', 'may', 'członka', 'ocen', 'czas', 'prelegentów', 'aty', 'go', 'ski', 'tnie', 'rol', 'soc', 'wag', 'wierz', 'jaźni', 'akty', 'ość', 'jus', 'lud', 'eko', 'styczny', 'racie', 'rod', 'wszy', 'ety', 'kler', 'tanie', 'zen', 'uwag', 'zek', 'doda', 'towar', 'lny', 'obywa', 'woły', 'kil', 'bor', 'twierdz', 'do', 'nar', 'kle', 'ram', 'ter', 'wat', 'dan', 'ery', 'organizacyj']"
