	0	1	2	3
0	0	0	78	69
1	4046	48	81	59
2	4045	157	82	164
3	3713	185	234	85
4	1827	259	510	62
5	3802	271	134	20
6	3106	292	589	55
7	3840	328	151	37
8	3783	390	282	66
9	917	452	3002	87
10	4048	532	79	23
11	4047	557	80	44
12	703	589	1412	76
13	4048	639	79	27
14	927	741	1406	88
15	874	868	1415	89
16	4045	996	82	143
17	963	1001	1118	82
18	917	1155	3151	98
19	706	1276	3319	107
20	703	1413	2745	90
21	4047	1500	80	31
22	4048	1536	79	45
23	915	1575	3212	98
24	706	1703	3371	98
25	715	1847	691	74
26	697	2095	2206	101
27	706	2303	1515	84
28	705	2472	1174	82
29	705	2589	916	92
30	705	2713	1580	92
31	707	2843	1478	90
32	705	2970	954	85
33	2029	3030	17	17
34	917	3129	3162	92
35	711	3247	3048	104
36	911	3429	2078	86
37	1486	3516	26	18
38	1123	3547	2022	94
39	917	3713	2954	101
40	711	3857	1312	82
41	917	4015	2958	87
42	711	4135	3416	96
43	713	4261	3414	98
44	923	4421	3053	102
45	712	4554	2587	99
46	724	4725	3403	96
47	863	4869	906	84
48	0	4907	76	32
49	715	4991	1982	84
50	713	5124	1528	82
51	716	5249	1375	84
52	717	5381	966	72
53	3348	5641	347	54
54	3545	5845	582	52
